id,name,description,work_flow,audio_codec,audio_channel,audio_data_rate,audio_format,audio_sample_rate,audio_sample_size,video_codec,video_bit_rate,video_bit_rate_max_percent,video_bit_rate_method,video_frame_rate,video_frame_size,video_key_frame
80,MP4_MS_IIS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
81,MP4_MS_IIS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
82,MP4_MS_IIS_h264_LF_4x3_480p.spfx,"h264 long form (More than five minutes).  For 4x3 SD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,125%,BitRateModeOnePassCBR,-1,384x288,2/Seconds
83,MP4_MS_IIS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
84,MP4_MS_IIS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
85,MP4_MS_IIS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
86,MP4_MS_IIS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
87,MP4_MS_IIS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
88,MP4_MS_IIS_h264_LF_MAR_720p.spfx,"h264 long form (More than five minutes).  This preset will Maintain Aspect Ratio of the source content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Long Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
89,MP4_MS_IIS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
90,MP4_MS_IIS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
91,MP4_MS_IIS_h264_SF_16x9_720p.spfx,"h264 short form (Less than five minutes).  For 16x9 HD content.  Connection speeds from slow DSL up to average broadband networks.","Web.Adaptive Bit Rate.Microsoft Smooth Streaming.Short Form",AACAudioCodec,ChannelModeStereo,64000,"Microsoft IIS Smooth Streaming",44100,16,MCptH264,110000,150%,BitRateModeOnePassCBR,-1,512x288,2/Seconds
