id,name,encoder,decoder,muxer,demuxer,protocol,bitfilter,filter,parser,hwaccel,indev,outdev
345,rtmpe,,,,,1,,,,,,
150,rtmps,,,,,1,,,,,,
485,rtmpt,,,,,1,,,,,,
291,rtmpte,,,,,1,,,,,,
99,rtp,,,1,1,1,,,,,,
180,rtsp,,,1,1,,,,,,,
176,rv10,1,1,,,,,,,,,
512,rv20,1,1,,,,,,,,,
364,rv30,,1,,,,,,,,,
171,rv40,,1,,,,,,,,,
503,s302m,,1,,,,,,,,,
514,sap,,,1,1,,,,,,,
35,scale,,,,,,,1,,,,
158,sdl,,,,,,,,,,,1
322,sdp,,,,1,,,,,,,
128,segafilm,,,,1,,,,,,,
499,select,,,,,,,1,,,,
367,setdar,,,,,,,1,,,,
174,setpts,,,,,,,1,,,,
508,setsar,,,,,,,1,,,,
314,settb,,,,,,,1,,,,
316,sgi,1,1,,,,,,,,,
462,shorten,,1,,1,,,,,,,
121,showinfo,,,,,,,1,,,,
270,siff,,,,1,,,,,,,
311,sipr,,1,,,,,,,,,
456,slicify,,,,,,,1,,,,
117,smackaud,,1,,,,,,,,,
76,smacker,,1,,1,,,,,,,
159,smc,,1,,,,,,,,,
491,sndio,,,,,,,,,,1,1
126,snow,1,1,,,,,,,,,
408,sol,,,,1,,,,,,,
492,sol_dpcm,,1,,,,,,,,,
461,sonic,1,1,,,,,,,,,
265,sonic_ls,1,,,,,,,,,,
218,sox,,,1,1,,,,,,,
298,sp5x,,1,,,,,,,,,
24,spdif,,,1,1,,,,,,,
318,split,,,,,,,1,,,,
361,srt,1,1,1,1,,,,,,,
164,str,,,,1,,,,,,,
105,sunrast,,1,,,,,,,,,
74,svq1,1,1,,,,,,,,,
439,svq3,,1,,,,,,,,,
498,swf,,,1,1,,,,,,,
405,targa,1,1,,,,,,,,,
431,tcp,,,,,1,,,,,,
72,text2movsub,,,,,,1,,,,,
274,tg2,,,1,,,,,,,,
80,tgp,,,1,,,,,,,,
249,theora,,1,,,,,,,,,
304,thp,,1,,1,,,,,,,
112,tiertexseq,,,,1,,,,,,,
53,tiertexseqvideo,,1,,,,,,,,,
215,tiff,1,1,,,,,,,,,
446,tmv,,1,,1,,,,,,,
195,transpose,,,,,,,1,,,,
255,truehd,,1,1,1,,,,,,,
389,truemotion1,,1,,,,,,,,,
194,truemotion2,,1,,,,,,,,,
3,truespeech,,1,,,,,,,,,
335,tscc,,1,,,,,,,,,
62,tta,,1,,1,,,,,,,
393,tty,,,,1,,,,,,,
142,twinvq,,1,,,,,,,,,
204,txd,,1,,1,,,,,,,
239,udp,,,,,1,,,,,,
477,ulti,,1,,,,,,,,,
262,unsharp,,,,,,,1,,,,
20,v210,1,1,,,,,,,,,
283,v210x,,1,,,,,,,,,
2,v4l,,,,,,,,,,1,
337,v4l2,,,,,,,,,,1,
91,vb,,1,,,,,,,,,
26,vc1,,1,,1,,,,1,,,
423,vc1_crystalhd,,1,,,,,,,,,
252,vc1_dxva2,,,,,,,,,1,,
55,vc1_vaapi,,,,,,,,,1,,
231,vc1_vdpau,,1,,,,,,,,,
8,vc1t,,,1,1,,,,,,,
37,vcr1,,1,,,,,,,,,
69,vflip,,,,,,,1,,,,
141,vfwcap,,,,,,,,,,1,
342,vmd,,,,1,,,,,,,
372,vmdaudio,,1,,,,,,,,,
235,vmdvideo,,1,,,,,,,,,
41,vmnc,,1,,,,,,,,,
148,voc,,,1,1,,,,,,,
356,vorbis,1,1,,,,,,,,,
358,vp3,,1,,,,,,1,,,
376,vp5,,1,,,,,,,,,
183,vp6,,1,,,,,,,,,
